image_id,predicted_label
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,0
11,1
12,2
13,3
14,4
15,5
16,6
17,7
18,8
19,9
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,8
29,9
30,0
31,1
32,2
33,3
34,4
35,5
36,6
37,7
38,8
39,9
40,0
41,1
42,2
43,3
44,4
45,5
46,6
47,7
48,8
49,9
50,0
51,1
52,2
53,3
54,4
55,5
56,6
57,7
58,8
59,9
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
70,0
71,1
72,2
73,3
74,4
75,5
76,6
77,7
78,8
79,9
80,0
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
90,0
91,1
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,0
101,1
102,2
103,3
104,4
105,5
106,6
107,7
108,8
109,9
110,0
111,1
112,2
113,3
114,4
115,5
116,6
117,7
118,8
119,9
120,0
121,1
122,2
123,3
124,4
125,5
126,6
127,7
128,8
129,9
130,0
131,1
132,2
133,3
134,4
135,5
136,6
137,7
138,8
139,9
140,0
141,1
142,2
143,3
144,4
145,5
146,6
147,7
148,8
149,9
150,0
151,1
152,2
153,3
154,4
155,5
156,6
157,7
158,8
159,9
160,0
161,1
162,2
163,3
164,4
165,5
166,6
167,7
168,8
169,9
170,0
171,1
172,2
173,3
174,4
175,5
176,6
177,7
178,8
179,9
180,0
181,1
182,2
183,3
184,4
185,5
186,6
187,7
188,8
189,9
190,0
191,1
192,2
193,3
194,4
195,5
196,6
197,7
198,8
199,9
200,0
201,1
202,2
203,3
204,4
205,5
206,6
207,7
208,8
209,9
210,0
211,1
212,2
213,3
214,4
215,5
216,6
217,7
218,8
219,9
220,0
221,1
222,2
223,3
224,4
225,5
226,6
227,7
228,8
229,9
230,0
231,1
232,2
233,3
234,4
235,5
236,6
237,7
238,8
239,9
240,0
241,1
242,2
243,3
244,4
245,5
246,6
247,7
248,8
249,9
250,0
251,1
252,2
253,3
254,4
255,5
256,6
257,7
258,8
259,9
260,0
261,1
262,2
263,3
264,4
265,5
266,6
267,7
268,8
269,9
270,0
271,1
272,2
273,3
274,4
275,5
276,6
277,7
278,8
279,9
280,0
281,1
282,2
283,3
284,4
285,5
286,6
287,7
288,8
289,9
290,0
291,1
292,2
293,3
294,4
295,5
296,6
297,7
298,8
299,9
300,0
301,1
302,2
303,3
304,4
305,5
306,6
307,7
308,8
309,9
310,0
311,1
312,2
313,3
314,4
315,5
316,6
317,7
318,8
319,9
320,0
321,1
322,2
323,3
324,4
325,5
326,6
327,7
328,8
329,9
330,0
331,1
332,2
333,3
334,4
335,5
336,6
337,7
338,8
339,9
340,0
341,1
342,2
343,3
344,4
345,5
346,6
347,7
348,8
349,9
350,0
351,1
352,2
353,3
354,4
355,5
356,6
357,7
358,8
359,9
360,0
361,1
362,2
363,3
364,4
365,5
366,6
367,7
368,8
369,9
370,0
371,1
372,2
373,3
374,4
375,5
376,6
377,7
378,8
379,9
380,0
381,1
382,2
383,3
384,4
385,5
386,6
387,7
388,8
389,9
390,0
391,1
392,2
393,3
394,4
395,5
396,6
397,7
398,8
399,9
400,0
401,1
402,2
403,3
404,4
405,5
406,6
407,7
408,8
409,9
410,0
411,1
412,2
413,3
414,4
415,5
416,6
417,7
418,8
419,9
420,0
421,1
422,2
423,3
424,4
425,5
426,6
427,7
428,8
429,9
430,0
431,1
432,2
433,3
434,4
435,5
436,6
437,7
438,8
439,9
440,0
441,1
442,2
443,3
444,4
445,5
446,6
447,7
448,8
449,9
450,0
451,1
452,2
453,3
454,4
455,5
456,6
457,7
458,8
459,9
460,0
461,1
462,2
463,3
464,4
465,5
466,6
467,7
468,8
469,9
470,0
471,1
472,2
473,3
474,4
475,5
476,6
477,7
478,8
479,9
480,0
481,1
482,2
483,3
484,4
485,5
486,6
487,7
488,8
489,9
490,0
491,1
492,2
493,3
494,4
495,5
496,6
497,7
498,8
499,9
500,0
501,1
502,2
503,3
504,4
505,5
506,6
507,7
508,8
509,9
510,0
511,1
512,2
513,3
514,4
515,5
516,6
517,7
518,8
519,9
520,0
521,1
522,2
523,3
524,4
525,5
526,6
527,7
528,8
529,9
530,0
531,1
532,2
533,3
534,4
535,5
536,6
537,7
538,8
539,9
540,0
541,1
542,2
543,3
544,4
545,5
546,6
547,7
548,8
549,9
550,0
551,1
552,2
553,3
554,4
555,5
556,6
557,7
558,8
559,9
560,0
561,1
562,2
563,3
564,4
565,5
566,6
567,7
568,8
569,9
570,0
571,1
572,2
573,3
574,4
575,5
576,6
577,7
578,8
579,9
580,0
581,1
582,2
583,3
584,4
585,5
586,6
587,7
588,8
589,9
590,0
591,1
592,2
593,3
594,4
595,5
596,6
597,7
598,8
599,9
600,0
601,1
602,2
603,3
604,4
605,5
606,6
607,7
608,8
609,9
610,0
611,1
612,2
613,3
614,4
615,5
616,6
617,7
618,8
619,9
620,0
621,1
622,2
623,3
624,4
625,5
626,6
627,7
628,8
629,9
630,0
631,1
632,2
633,3
634,4
635,5
636,6
637,7
638,8
639,9
640,0
641,1
642,2
643,3
644,4
645,5
646,6
647,7
648,8
649,9
650,0
651,1
652,2
653,3
654,4
655,5
656,6
657,7
658,8
659,9
660,0
661,1
662,2
663,3
664,4
665,5
666,6
667,7
668,8
669,9
670,0
671,1
672,2
673,3
674,4
675,5
676,6
677,7
678,8
679,9
680,0
681,1
682,2
683,3
684,4
685,5
686,6
687,7
688,8
689,9
690,0
691,1
692,2
693,3
694,4
695,5
696,6
697,7
698,8
699,9
700,0
701,1
702,2
703,3
704,4
705,5
706,6
707,7
708,8
709,9
710,0
711,1
712,2
713,3
714,4
715,5
716,6
717,7
718,8
719,9
720,0
721,1
722,2
723,3
724,4
725,5
726,6
727,7
728,8
729,9
730,0
731,1
732,2
733,3
734,4
735,5
736,6
737,7
738,8
739,9
740,0
741,1
742,2
743,3
744,4
745,5
746,6
747,7
748,8
749,9
750,0
751,1
752,2
753,3
754,4
755,5
756,6
757,7
758,8
759,9
760,0
761,1
762,2
763,3
764,4
765,5
766,6
767,7
768,8
769,9
770,0
771,1
772,2
773,3
774,4
775,5
776,6
777,7
778,8
779,9
780,0
781,1
782,2
783,3
784,4
785,5
786,6
787,7
788,8
789,9
790,0
791,1
792,2
793,3
794,4
795,5
796,6
797,7
798,8
799,9
800,0
801,1
802,2
803,3
804,4
805,5
806,6
807,7
808,8
809,9
810,0
811,1
812,2
813,3
814,4
815,5
816,6
817,7
818,8
819,9
820,0
821,1
822,2
823,3
824,4
825,5
826,6
827,7
828,8
829,9
830,0
831,1
832,2
833,3
834,4
835,5
836,6
837,7
838,8
839,9
840,0
841,1
842,2
843,3
844,4
845,5
846,6
847,7
848,8
849,9
850,0
851,1
852,2
853,3
854,4
855,5
856,6
857,7
858,8
859,9
860,0
861,1
862,2
863,3
864,4
865,5
866,6
867,7
868,8
869,9
870,0
871,1
872,2
873,3
874,4
875,5
876,6
877,7
878,8
879,9
880,0
881,1
882,2
883,3
884,4
885,5
886,6
887,7
888,8
889,9
890,0
891,1
892,2
893,3
894,4
895,5
896,6
897,7
898,8
899,9
900,0
901,1
902,2
903,3
904,4
905,5
906,6
907,7
908,8
909,9
910,0
911,1
912,2
913,3
914,4
915,5
916,6
917,7
918,8
919,9
920,0
921,1
922,2
923,3
924,4
925,5
926,6
927,7
928,8
929,9
930,0
931,1
932,2
933,3
934,4
935,5
936,6
937,7
938,8
939,9
940,0
941,1
942,2
943,3
944,4
945,5
946,6
947,7
948,8
949,9
950,0
951,1
952,2
953,3
954,4
955,5
956,6
957,7
958,8
959,9
960,0
961,1
962,2
963,3
964,4
965,5
966,6
967,7
968,8
969,9
970,0
971,1
972,2
973,3
974,4
975,5
976,6
977,7
978,8
979,9
980,0
981,1
982,2
983,3
984,4
985,5
986,6
987,7
988,8
989,9
990,0
991,1
992,2
993,3
994,4
995,5
996,6
997,7
998,8
999,9
1000,0
1001,1
1002,2
1003,3
1004,4
1005,5
1006,6
1007,7
1008,8
1009,9
1010,0
1011,1
1012,2
1013,3
1014,4
1015,5
1016,6
1017,7
1018,8
1019,9
1020,0
1021,1
1022,2
1023,3
1024,4
1025,5
1026,6
1027,7
1028,8
1029,9
1030,0
1031,1
1032,2
1033,3
1034,4
1035,5
1036,6
1037,7
1038,8
1039,9
1040,0
1041,1
1042,2
1043,3
1044,4
1045,5
1046,6
1047,7
1048,8
1049,9
1050,0
1051,1
1052,2
1053,3
1054,4
1055,5
1056,6
1057,7
1058,8
1059,9
